Date,Open,High,Low,Close,CO1 Comdty - Open Interest,SMAVG (15),,
19-04-2021,66.7,67.23,66.17,67.05,403544,403267,,0.004184732
20-04-2021,67.2,68.08,65.51,66.57,368782,420945,,-0.007184584
21-04-2021,66.22,66.52,64.96,65.32,344807,440146,,-0.018955758
22-04-2021,65.13,65.83,64.58,65.4,307857,457022,,0.00122399
23-04-2021,65.8,66.3,65.16,66.11,273305,438321,,0.010797763
26-04-2021,66.1,66.26,64.57,65.65,227313,417333,,-0.006982421
27-04-2021,65.76,66.8,65.66,66.42,171598,393458,,0.011660615
28-04-2021,66.58,67.85,66.13,67.27,129868,367749,,0.012716156
29-04-2021,67.18,68.95,67.13,68.56,90275,339508,,0.018994902
30-04-2021,68.33,68.4,67.06,67.25,84640,312454,,-0.019292256
03-05-2021,66.7,67.82,66.1,67.56,624820,322379,,0.004599073
04-05-2021,67.75,69.5,67.37,68.88,615626,331674,,0.019349768
05-05-2021,69.35,69.95,68.35,68.96,605749,340763,,0.001160766
06-05-2021,68.47,69.37,67.93,68.09,602062,350850,,-0.012696267
07-05-2021,68.26,68.65,67.39,68.28,578276,361901,,0.002786538
10-05-2021,68.74,69.2,67.41,68.32,543161,371209,,0.000585652
11-05-2021,68.29,68.75,67.13,68.55,517290,381110,,0.003360857
12-05-2021,68.78,69.9,68.18,69.32,476707,389903,,0.011170059
13-05-2021,68.88,69.04,66.48,67.05,439492,398679,,-0.033294855
14-05-2021,67,68.89,66.5,68.71,408642,407701,,0.024456139
17-05-2021,68.92,69.62,68.18,69.46,383349,418104,,0.010856298
18-05-2021,69.61,70.24,67.28,68.71,358993,430597,,-0.010856298
19-05-2021,68.41,68.46,65.3,66.66,331187,444018,,-0.030289676
20-05-2021,66.63,67.17,64.8,65.11,267046,455803,,-0.023526926
21-05-2021,65.22,66.94,64.57,66.44,242324,466315,,0.020221137
24-05-2021,66.72,68.64,66.46,68.46,204432,438289,,0.029950348
25-05-2021,68.47,68.9,67.83,68.65,164918,408242,,0.002771499
26-05-2021,68.55,69.17,68.02,68.87,132924,376720,,0.003199537
27-05-2021,68.78,69.51,68.11,69.46,99694,343229,,0.008530378
28-05-2021,69.69,69.92,69.26,69.63,85224,310359,,0.002444462
31-05-2021,68.98,69.82,68.75,69.32,561967,311613,,-0.004462044
01-06-2021,69.39,71.34,69.29,70.25,548775,313712,,0.013326843
02-06-2021,70.55,71.48,70.35,71.35,536400,317691,,0.015537036
03-06-2021,71.27,71.99,70.66,71.31,524449,323355,,-0.000560774
04-06-2021,71.25,72.17,70.73,71.89,518313,330666,,0.008100603
07-06-2021,71.82,72.27,71.1,71.49,498201,338323,,-0.005579593
08-06-2021,71.42,72.42,70.71,72.22,481405,346484,,0.010159436
09-06-2021,72.17,72.87,71.82,72.22,450265,354422,,0
10-06-2021,72.03,72.93,70.95,72.52,429331,365241,,0.00414537
11-06-2021,72.41,73.09,71.88,72.69,417207,376900,,0.002341438
14-06-2021,72.7,73.64,72.59,72.86,399707,389919,,0.002335968
15-06-2021,73.03,74.33,72.79,73.99,392186,405070,,0.015390157
16-06-2021,74.26,74.96,73.86,74.39,381500,421642,,0.005391575
17-06-2021,73.8,74.5,72.01,73.08,339490,437628,,-0.017766793
18-06-2021,73,73.76,72.18,73.51,317847,453136,,0.00586672
21-06-2021,73.33,74.95,72.98,74.9,291237,435088,,0.018732439
22-06-2021,74.88,75.3,74.32,74.81,245167,414847,,-0.001202325
23-06-2021,74.75,76.02,74.7,75.19,217285,393573,,0.005066678
24-06-2021,75.3,75.78,74.51,75.56,197573,371781,,0.004908799
25-06-2021,75.54,76.21,74.95,76.18,159060,347831,,0.008171918
28-06-2021,75.99,76.6,74.51,74.68,110240,321967,,-0.019886642
29-06-2021,74.67,75.51,73.9,74.76,52539,293376,,0.001070664
30-06-2021,75.18,75.6,74.39,75.13,48711,266605,,0.004936964
01-07-2021,74.69,76.74,74.55,75.84,646528,281085,,0.009405912
02-07-2021,75.64,76.43,75.21,76.17,621980,294737,,0.004341826
05-07-2021,76.23,77.26,75.7,77.16,620623,309464,,0.012913504
06-07-2021,77.06,77.84,74.13,74.53,607309,323806,,-0.034679459
07-07-2021,74.69,75.99,72.6,73.43,608890,338965,,-0.014869157
08-07-2021,73.35,74.4,72.11,74.12,574814,354654,,0.00935283
09-07-2021,74.39,75.8,73.8,75.55,541887,369590,,0.019109287
12-07-2021,75.79,75.84,74.23,75.16,494746,383157,,-0.005175514
13-07-2021,75.25,76.6,74.93,76.49,464971,397810,,0.017540839
14-07-2021,76.28,76.72,73.79,74.76,424350,411615,,-0.022877031
15-07-2021,74.5,74.59,73.19,73.47,385639,424152,,-0.017405823
16-07-2021,73.18,74.09,72.34,73.59,364482,437847,,0.001631987
19-07-2021,72.86,73.34,67.75,68.62,321724,451946,,-0.06992511
20-07-2021,68.99,69.73,67.44,69.35,296081,468182,,0.010582109
